id,type,question,answer
1,closed_ended,"Does R1 currently run on a Raspberry Pi 5?","Yes. The README and site describe R1 as a Raspberry Pi 5-based physical AI robot platform."
2,closed_ended,"Is ROS 2 used as the main runtime architecture for R1?","Yes. The project is organized as ROS 2 packages and uses ROS 2 launch files, nodes, topics, and messages."
3,closed_ended,"Does the repo include a launch file that can start multiple R1 nodes together?","Yes. src/r1_nodes/launch/bringup.launch.py launches the camera, visual processor, brain, audio, action, ear, VLM, web, and optional SLAM nodes."
4,closed_ended,"Can the visual processor subscribe to multiple camera streams?","Yes. visual_processor_node.py accepts camera_uids and camera_labels parameters and creates subscriptions for each configured camera."
5,closed_ended,"Does the visual processor publish structured vision events?","Yes. It publishes JSON-encoded events on /vision/events using std_msgs/String."
6,closed_ended,"Is YOLO used for 2D object or face detection in the current visual processor?","Yes. When enable_2dobd is true, visual_processor_node.py loads a YOLO model through the ultralytics package."
7,closed_ended,"Can YOLO detection be enabled or disabled through launch parameters?","Yes. enable_2dobd and enable_3dobd are launch parameters, and visual_processor_node is conditionally configured from bringup.launch.py."
8,closed_ended,"Does R1 include a VLM node for image question answering?","Yes. src/r1_nodes/r1/vlm_node.py subscribes to /vlm/questions and publishes answers on /vlm/answers."
9,closed_ended,"Does the VLM node call an Ollama-compatible API?","Yes. vlm_node.py sends POST requests to the configured Ollama /api/generate endpoint with an image and prompt."
10,closed_ended,"Does the brain node publish robot actions based on visual events?","Yes. brain_node.py converts obstacle-related vision events into actions such as stop, idle, warn, or move_suggestion on /brain/actions."
11,closed_ended,"Does the brain node listen for audio or text commands?","Yes. brain_node.py subscribes to /audio/heard_text and handles commands such as hello, quiet, status, describe, and VLM questions."
12,closed_ended,"Does R1 include an action node for downstream robot behavior?","Yes. The repo includes src/r1_nodes/r1/action_node.py and the bringup launch file starts action_node."
13,closed_ended,"Does the repo include an experimental monocular SLAM package?","Yes. The repo includes src/r1_slam with a C++ monocular_slam_node."
14,closed_ended,"Does the SLAM node use OpenCV feature tracking?","Yes. The SLAM node uses ORB feature detection and Lucas-Kanade optical flow through OpenCV."
15,closed_ended,"Does the SLAM node publish pose or path messages?","Yes. The SLAM node creates publishers for /slam/pose and /slam/path."
16,closed_ended,"Does the project include a browser-facing web interface package?","Yes. The repo includes src/r1_web with a web UI node and static HTML, CSS, and JavaScript assets."
17,closed_ended,"Does the Docusaurus site document the project goals and components?","Yes. docs/src/pages/index.tsx documents the overview, goals, hardware, components, running instructions, observability, and future directions."
18,closed_ended,"Does the website include an R1 chat component called Agent Murphy?","Yes. docs/src/components/R1Chat/R1Chat.tsx renders a chat panel labeled Agent Murphy."
19,closed_ended,"Does the chat component support image upload?","Yes. R1Chat.tsx supports PNG, JPEG, and WebP uploads up to 5 MB and sends them as base64 payloads."
20,closed_ended,"Does the chat component use Cloudflare Turnstile before sending chat requests?","Yes. R1Chat.tsx loads Cloudflare Turnstile and creates a chat session before enabling messages."
21,closed_ended,"Does the chat component include fallback answers when the backend is offline?","Yes. R1Chat.tsx has getFallbackReply and built-in fallback questions for common R1 topics."
22,closed_ended,"Does the repo include Docker instructions for running the R1 environment?","Yes. readme.md includes Docker build, run, exec, and cleanup commands."
