id,gold_context
1,"readme.md states that R1 is a Raspberry Pi 5-based Physical AI robot platform. docs/src/pages/index.tsx describes the current platform as based around a Raspberry Pi 5 running the R1 stack."
2,"readme.md states that R1 uses ROS 2 to organize the system into modular software components. src/r1_nodes/launch/bringup.launch.py is a ROS 2 launch file, and src/r1_nodes/r1 contains ROS 2 nodes."
3,"src/r1_nodes/launch/bringup.launch.py declares launch arguments and starts multiple nodes: cameras_node, visual_processor_node, brain_node, audio_node, action_node, ear_node, vlm_node, web_ui_node, and optional r1_slam monocular_slam_node."
4,"src/r1_nodes/r1/visual_processor_node.py declares camera_uids and camera_labels parameters. It iterates over those values and creates subscriptions to /camera/uid_{uid}/image_raw for each configured camera."
5,"src/r1_nodes/r1/visual_processor_node.py imports std_msgs.msg.String, creates self.event_pub = self.create_publisher(String, ""/vision/events"", 10), serializes event with json.dumps(event), and publishes it as out_msg.data."
6,"src/r1_nodes/r1/visual_processor_node.py conditionally imports ultralytics.YOLO when enable_2dobd is true, loads /home/ubuntu/r1/data/models/yolov12n-face.onnx, and runs self.model.predict for YOLO-based frame analysis."
7,"src/r1_nodes/launch/bringup.launch.py declares enable_2dobd and enable_3dobd launch arguments. visual_processor_node receives enable_2dobd, enable_3dobd, and yolo_camera_uid as parameters and is conditioned on enable_any_obd."
8,"src/r1_nodes/r1/vlm_node.py defines a VLM ROS 2 node. It subscribes to /vlm/questions and publishes answers on /vlm/answers for image question answering."
9,"src/r1_nodes/r1/vlm_node.py sends HTTP POST requests to an Ollama-compatible /api/generate endpoint using the configured ollama_url and model, with prompt and image data."
10,"src/r1_nodes/r1/brain_node.py subscribes to /vision/events. It turns obstacle-like vision events into actions such as stop, warn, idle, or move_suggestion and publishes action JSON on /brain/actions."
11,"src/r1_nodes/r1/brain_node.py subscribes to /audio/heard_text and handles text commands including hello, quiet, status, describe, and VLM-style questions."
12,"src/r1_nodes/r1/action_node.py defines the action node. src/r1_nodes/launch/bringup.launch.py starts package r1 executable action_node as part of bringup."
13,"src/r1_slam contains the experimental monocular SLAM package. src/r1_slam/CMakeLists.txt uses ament_cmake and add_executable(monocular_slam_node src/monocular_slam_node.cpp), so the SLAM node is C++."
